Year,Age,Males,Females,Both Sexes
2023,0,79.25,83.79,81.51
2022,1,78.63,83.13,80.87
2021,2,77.65,82.15,79.9
2020,3,76.67,81.16,78.91
2019,4,75.68,80.17,77.92
2018,5,74.69,79.18,76.93
2017,6,73.7,78.19,75.94
2016,7,72.71,77.2,74.95
2015,8,71.71,76.2,73.95
2014,9,70.72,75.21,72.96
2013,10,69.73,74.22,71.97
2012,11,68.73,73.22,70.97
2011,12,67.74,72.23,69.98
2010,13,66.75,71.24,68.99
2009,14,65.76,70.24,68
2008,15,64.77,69.25,67.01
2007,16,63.78,68.27,66.02
2006,17,62.81,67.28,65.04
2005,18,61.83,66.3,64.06
2004,19,60.87,65.32,63.09
2003,20,59.91,64.34,62.12
2002,21,58.95,63.37,61.15
2001,22,57.99,62.39,60.19
2000,23,57.04,61.42,59.23
1999,24,56.09,60.45,58.27
1998,25,55.14,59.47,57.31
1997,26,54.19,58.5,56.35
1996,27,53.25,57.53,55.39
1995,28,52.3,56.56,54.44
1994,29,51.36,55.6,53.48
1993,30,50.42,54.63,52.53
1992,31,49.49,53.66,51.58
1991,32,48.55,52.7,50.63
1990,33,47.62,51.73,49.69
1989,34,46.69,50.77,48.74
1988,35,45.76,49.81,47.8
1987,36,44.84,48.85,46.86
1986,37,43.91,47.89,45.91
1985,38,42.98,46.93,44.97
1984,39,42.06,45.97,44.03
1983,40,41.14,45.01,43.09
1982,41,40.22,44.06,42.16
1981,42,39.3,43.1,41.22
1980,43,38.38,42.15,40.29
1979,44,37.46,41.2,39.35
1978,45,36.55,40.25,38.43
1977,46,35.64,39.31,37.5
1976,47,34.73,38.36,36.57
1975,48,33.83,37.42,35.65
1974,49,32.93,36.49,34.73
1973,50,32.03,35.55,33.82
1972,51,31.14,34.62,32.91
1971,52,30.25,33.69,32
1970,53,29.37,32.77,31.1
1969,54,28.5,31.85,30.21
1968,55,27.63,30.93,29.31
1967,56,26.76,30.02,28.43
1966,57,25.91,29.12,27.55
1965,58,25.06,28.22,26.68
1964,59,24.21,27.32,25.81
1963,60,23.38,26.44,24.95
1962,61,22.55,25.55,24.1
1961,62,21.73,24.68,23.26
1960,63,20.92,23.81,22.42
1959,64,20.12,22.95,21.59
1958,65,19.33,22.1,20.77
1957,66,18.55,21.26,19.96
1956,67,17.78,20.42,19.17
1955,68,17.02,19.6,18.38
1954,69,16.27,18.78,17.6
1953,70,15.54,17.98,16.84
1952,71,14.82,17.19,16.08
1951,72,14.11,16.41,15.34
1950,73,13.42,15.64,14.62
1949,74,12.74,14.89,13.9
1948,75,12.07,14.15,13.21
1947,76,11.43,13.43,12.52
1946,77,10.79,12.72,11.86
1945,78,10.18,12.03,11.21
1944,79,9.58,11.35,10.57
1943,80,9,10.69,9.96
1942,81,8.44,10.05,9.36
1941,82,7.9,9.43,8.78
1940,83,7.38,8.83,8.22
1939,84,6.88,8.25,7.69
1938,85,6.4,7.69,7.17
1937,86,5.94,7.16,6.67
1936,87,5.5,6.65,6.2
1935,88,5.08,6.16,5.75
1934,89,4.69,5.7,5.32
1933,90,4.33,5.26,4.92
1932,91,3.99,4.85,4.55
1931,92,3.68,4.47,4.21
1930,93,3.4,4.12,3.89
1929,94,3.14,3.79,3.59
1928,95,2.9,3.49,3.32
1927,96,2.69,3.22,3.08
1926,97,2.51,2.98,2.86
1925,98,2.34,2.76,2.66
1924,99,2.18,2.56,2.47
1923,100,2.05,2.38,2.31
1922,101,1.92,2.22,2.16
1921,102,1.81,2.08,2.03
1920,103,1.72,1.95,1.91
1919,104,1.63,1.83,1.81
1918,105,1.55,1.73,1.71
1917,106,1.49,1.64,1.63
1916,107,1.43,1.57,1.56
1915,108,1.38,1.5,1.49
1914,109,1.34,1.45,1.45
1913,110,1.31,1.42,1.41